sample_dir,group_root,sample_name,arw_path,arw_size,arw_md5,cdf_path,cdf_size,rpt_path,rpt_size,png_count,parameter_pngs,plot_pngs,unknown_pngs,status,duplicate_group_size,duplicate_dirs
extra\72,extra,72,extra\72\Method1639.arw,67127,1e9f4078243402fab802324548bca3cd,extra\72\Method1639.cdf,25520,extra\72\Method_m32_result_2269.rpt,63828,2,extra\72\425c978a-3844-42ee-a312-1896a0011679.png,extra\72\5ec696c1-6575-4f8d-9121-f6034afe0507.png,,ok,1,
extra\73,extra,73,extra\73\Method1643.arw,67176,1c2b716d5953d99e41d6b7704f83a45f,extra\73\Method1643.cdf,25520,extra\73\Method_m32_result_2270.rpt,63740,2,extra\73\d715f591-a591-42cf-8b61-4725a0c309c6.png,extra\73\0da9feae-e96f-4a94-a948-61042ca16e2b.png,,ok,1,
extra\75,extra,75,extra\75\Method1647.arw,67016,d2df0d28c046efe0d2b08b1fc14904c5,extra\75\Method1647.cdf,25520,extra\75\Method_m32_result_2271.rpt,63865,2,extra\75\9a9b610a-62a7-48f8-8fe6-06d8b60bc381.png,extra\75\2e003836-876c-4567-95cd-9ea2fa729066.png,,ok,1,
extra\76,extra,76,extra\76\Method1655.arw,66577,22ddd85f252e86fbc95742629707a2b6,extra\76\Method1655.cdf,25520,extra\76\Method_m32_result_2273.rpt,63813,2,extra\76\8457b099-401a-4b7f-a3b9-70459b800ac7.png,extra\76\510fe869-6e8a-45e1-aec9-3063b44bf474.png,,ok,1,
extra\77,extra,77,extra\77\Method1659.arw,67040,70503903b0293c9f072fb902e2756197,extra\77\Method1659.cdf,25520,extra\77\Method_m32_result_2274.rpt,65257,2,extra\77\72d089f7-0db2-4de6-b6ec-cccfd18d9d67.png,extra\77\f9fb8029-9eec-43c8-861c-22b1f73ee32e.png,,ok,1,
extra\78,extra,78,extra\78\Method1663.arw,67135,c0c747a7d802365f52a06b28f043f816,extra\78\Method1663.cdf,25520,extra\78\Method_m32_result_2275.rpt,65216,2,extra\78\9627f199-9865-4f1a-9d8f-77d0edb87282.png,extra\78\71189d43-c356-419d-82cd-7a8b745321bc.png,,ok,1,
extra\79,extra,79,extra\79\Method1667.arw,65148,f2d836a50ef0c644e1fc8a52ddf90598,extra\79\Method1667.cdf,25520,extra\79\Method_m32_result_2276.rpt,65454,2,extra\79\26eebb13-fc6f-42f8-a0ce-879e59ec4cdc.png,extra\79\fbb68e7a-fde8-41f0-ad4b-6c618d56a24c.png,,ok,1,
extra\81,extra,81,extra\81\Method1248.arw,67670,3ca49eadfdaace0a39af87fec6e7dc66,extra\81\Method1248.cdf,25520,extra\81\Method_m32_result_1318.rpt,64397,2,extra\81\1becd59d-ce44-4adf-bcef-dc9cad391d49.png,extra\81\eeeb3d93-7512-4125-bbfc-fb7fe1caa67b.png,,ok,1,
extra\82,extra,82,extra\82\Method1252.arw,65456,7a3cdee1e86d21b9a95861aa95d8e5db,extra\82\Method1252.cdf,25520,extra\82\Method_m32_result_1312.rpt,63573,2,extra\82\f1506fbc-bfc2-4d04-8e0c-62ff1dd546d6.png,extra\82\486b841d-4949-49dd-8867-7441e803ed59.png,,ok,1,
extra\83,extra,83,extra\83\Method1256.arw,66341,649761114c5e57d40f34b0108df0361f,extra\83\Method1256.cdf,25568,extra\83\Method_m32_result_1313.rpt,63816,2,extra\83\148e66b3-2c4b-4871-a27a-b2a3a7419fc5.png,extra\83\eb2c70cb-7660-47c9-a9ad-3b96e26a8733.png,,ok,1,
extra\84,extra,84,extra\84\Method1260.arw,66510,23c03ccf37cc26cd83d14c6031f62f74,extra\84\Method1260.cdf,25616,extra\84\Method_m32_result_1314.rpt,64101,2,extra\84\75fefc85-8d85-4155-8fb0-30016c896401.png,extra\84\6abef129-580c-43b5-b9d6-752aa20747bf.png,,ok,1,
extra\85,extra,85,extra\85\Method1264.arw,66953,39704a0b49d98b80daa9e6870b8b23c8,extra\85\Method1264.cdf,25616,extra\85\Method_m32_result_1315.rpt,64104,2,extra\85\f3a84aab-b9fe-4f96-8ba2-7baa26cce0f1.png,extra\85\bdaac4e8-f7c8-44f7-99f0-db81c53820a0.png,,ok,1,
extra\86,extra,86,extra\86\Method1268.arw,66987,61d7182c5920d45940fa07847d2066b7,extra\86\Method1268.cdf,25568,extra\86\Method_m32_result_1316.rpt,63887,2,extra\86\d05daeb0-aaab-425b-95f5-36342057f7de.png,extra\86\d3c12d27-f7f6-456a-a6a1-3ba421738462.png,,ok,1,
extra\87,extra,87,extra\87\Method1272.arw,67538,f9c1b80b8e75cd0e99121627c7015276,extra\87\Method1272.cdf,25520,extra\87\Method_m32_result_1319.rpt,64412,2,extra\87\eb171b2e-411b-4ffb-a2b7-8ccc2d58b586.png,extra\87\6e89d2c3-120e-4b53-a1e7-cba4003fec26.png,,ok,1,
extra\88,extra,88,extra\88\Method1112.arw,68344,519334b0a2d94335f30e0384815b17d8,extra\88\Method1112.cdf,25620,extra\88\Method_m32_result_2325.rpt,63254,2,extra\88\cb30321f-21d8-471d-8ecc-32714c0b869e.png,extra\88\c56c99b3-18c8-4279-b21c-21fdbcf3e5f1.png,,ok,1,
extra\89,extra,89,extra\89\Method1116.arw,67569,1bec3f2d1ce96e2bc1849995f2d60709,extra\89\Method1116.cdf,25616,extra\89\Method_m32_result_1147.rpt,62895,2,extra\89\6c71118d-0a9e-4e41-a4be-95d0b3b09d89.png,extra\89\83ba568c-dde5-46c1-aab5-780dfbacdad5.png,,ok,1,
extra\90,extra,90,extra\90\Method1120.arw,67587,d310c4e14ed6c2fe14593e0edd30fb62,extra\90\Method1120.cdf,25616,extra\90\Method_m32_result_1148.rpt,62166,2,extra\90\879ab663-3927-4d53-bc1b-6f28510d1a44.png,extra\90\fe5ac901-9209-47ee-87c9-f0ed356d0a97.png,,ok,1,
extra\91,extra,91,extra\91\Method1124.arw,68035,f11007cdc55df154a273ba52cc15bc6a,extra\91\Method1124.cdf,25524,extra\91\Method_m32_result_1149.rpt,63981,2,extra\91\dab407a5-77f7-427e-bf2d-ebd3e76b0c0c.png,extra\91\491a53f9-8078-4fb3-815a-71c28214ac05.png,,ok,1,
extra\92,extra,92,extra\92\Method1042.arw,68003,4701d9073dc4f3891336332326020165,extra\92\Method1042.cdf,25524,extra\92\Method_m32_result_1086.rpt,64763,2,extra\92\e80e59a2-ca42-4afe-bd20-596582d9780b.png,extra\92\a80f2367-59f9-4eb8-baf7-a0eb4b035bb3.png,,ok,1,
extra\98,extra,98,extra\98\Method1066.arw,66991,8744fcb5bd719e42e44c0d588c97810f,extra\98\Method1066.cdf,25568,extra\98\Method_m32_result_1092.rpt,61776,2,extra\98\391e9b57-93e5-46b0-8bd1-bb41000827ad.png;extra\98\f45d0c81-9208-4f5d-98d5-6de6f4ecd420.png,,,ok,2,data\BC2;extra\98
extra\99,extra,99,extra\99\Method1070.arw,67535,f6de665d5b511bda2ab8ff956d921537,extra\99\Method1070.cdf,25524,extra\99\Method_m32_result_1093.rpt,64265,2,extra\99\7a6d73b66f278ebf311e2a474c32eed3.png;extra\99\9aa76658-e6b7-40ad-ac9d-cb658b092bf0.png,,,ok,1,
extra\D1,extra,D1,extra\D1\exp1562.arw,66241,376e46868cc1c3dc7d7852259e13a1c7,extra\D1\exp1562.cdf,25228,extra\D1\exp_m32_result_1610.rpt,64449,1,extra\D1\fe723e1c-dfca-4700-bb58-cfbe9043484e.png,,,ok,2,data\B8;extra\D1
extra\D2,extra,D2,extra\D2\exp1542.arw,66937,6a29bee1131b08a476e68bdec7f9c42b,extra\D2\exp1542.cdf,25232,extra\D2\exp_m32_result_1609.rpt,64185,1,extra\D2\9e5c3b03-05e8-41b7-9878-8188074a3b50.png,,,ok,2,data\B9;extra\D2
extra\D3,extra,D3,extra\D3\exp1522.arw,67152,a1b58e9639ddd520fd4f2c14dcb87374,extra\D3\exp1522.cdf,25616,extra\D3\exp_m32_result_1608.rpt,64265,1,extra\D3\0789f4a2-9b4c-4a6e-bc1d-f70f5f0e5e1d.png,,,ok,1,
extra\D4,extra,D4,extra\D4\exp1502.arw,66806,81ab34d4bed4c8dcf6395e83bf47fac4,extra\D4\exp1502.cdf,25228,extra\D4\exp_m32_result_1607.rpt,64028,1,extra\D4\d118ccca-31a5-40c7-9bcb-b68c2978b236.png,,,ok,1,
extra\D5,extra,D5,extra\D5\exp1482.arw,66852,bdc8952e31b7ab0a84ac6f56d60bd153,extra\D5\exp1482.cdf,25612,extra\D5\exp_m32_result_1606.rpt,63969,1,extra\D5\04d93412-f064-4709-b311-57df8c7ddd5f.png,,,ok,1,
extra\HT LL 1,extra,HT LL 1,extra\HT LL 1\testdata1078.arw,196577,49b895448d7d774ddbfa75ea9d7ca593,extra\HT LL 1\testdata1078.cdf,73232,extra\HT LL 1\testdata_m32_result_1174.rpt,187391,1,extra\HT LL 1\5eec6999-0c65-4730-82ef-b78df5d4468d.png,,,ok,2,data\B3;extra\HT LL 1
extra\HT LL 2,extra,HT LL 2,extra\HT LL 2\testdata1082.arw,196229,b2c571b076ddcaa1eeff232870ed6e54,extra\HT LL 2\testdata1082.cdf,73232,extra\HT LL 2\testdata_m32_result_1172.rpt,189767,1,extra\HT LL 2\b809eb23-3cf6-42d7-af44-f1c7a3987b06.png,,,ok,2,data\B7;extra\HT LL 2
extra\HT LL 3,extra,HT LL 3,extra\HT LL 3\testdata1086.arw,196041,c60151f63d4e58db7fcf5045fe6caa53,extra\HT LL 3\testdata1086.cdf,73616,extra\HT LL 3\testdata_m32_result_1170.rpt,187810,1,extra\HT LL 3\6655492a-cbb9-4a0c-a8b6-44d42d075fb3.png,,,ok,1,
extra\HT LL 4,extra,HT LL 4,extra\HT LL 4\testdata1090.arw,195835,4dda59d6af8eb5d8fa39b710bdc4751a,extra\HT LL 4\testdata1090.cdf,73616,extra\HT LL 4\testdata_m32_result_1168.rpt,186505,1,extra\HT LL 4\306a7c24-7fd6-4f2c-8e54-b6ef6bc91280.png,,,ok,1,
extra\HT LL 5,extra,HT LL 5,extra\HT LL 5\testdata1094.arw,195887,3ef97dea26c800ecd8137f3530bb4900,extra\HT LL 5\testdata1094.cdf,73664,extra\HT LL 5\testdata_m32_result_1166.rpt,189118,1,extra\HT LL 5\bc63d184-3a79-410b-9578-a199719486a2.png,,,ok,1,
extra\jian1,extra,jian1,extra\jian1\Method4614.arw,66350,d852450fad47f348339c6f44e213c6d3,extra\jian1\Method4614.cdf,25664,extra\jian1\Method_m32_result_4635.rpt,64421,1,extra\jian1\7b5ec85f-c14a-47da-88ec-2f78ba49198c.png,,,ok,2,data\BC3;extra\jian1
extra\jian2,extra,jian2,extra\jian2\Method4610.arw,66129,2404c366417c95d45d8f5a8eea4002d3,extra\jian2\Method4610.cdf,25616,extra\jian2\Method_m32_result_4634.rpt,64211,1,extra\jian2\683bfe48-ffc3-4198-8891-a08383f600ff.png,,,ok,2,data\BC4;extra\jian2
extra\jian3,extra,jian3,extra\jian3\Method4606.arw,67106,f33be1402f9dd450a73698fe3989ca8d,extra\jian3\Method4606.cdf,25616,extra\jian3\Method_m32_result_4633.rpt,64187,1,extra\jian3\fd1049ba-6d52-4608-b8be-cca8812d5615.png,,,ok,2,data\BC5;extra\jian3
extra\N1,extra,N1,extra\N1\Method1878.arw,198459,814f67924660894f558f270e7cf1cf9b,extra\N1\Method1878.cdf,32,extra\N1\Method_m32_result_2269.rpt,188411,1,extra\N1\33e17daf-b4a5-4091-8bc7-3ac78c8b7322.png,,,ok,1,
extra\N2,extra,N2,extra\N2\Method1874.arw,197618,2935db0675636bead8ad3e3ead73d471,extra\N2\Method1874.cdf,73616,extra\N2\Method_m32_result_2268.rpt,187373,1,extra\N2\825fa56d-9df7-4109-8a88-0d57033494d0.png,,,ok,1,
extra\N3,extra,N3,extra\N3\Method1870.arw,198710,6f1c83b99389945e1df37e788b6159d9,extra\N3\Method1870.cdf,73712,extra\N3\Method_m32_result_2267.rpt,188144,1,extra\N3\ab2cc943-7ffc-4bf2-b622-bee98d69756f.png,,,ok,1,
extra\N4,extra,N4,extra\N4\Method1866.arw,199495,bb2efb476d0ca23f7d227e7b18221c3d,extra\N4\Method1866.cdf,73664,extra\N4\Method_m32_result_2266.rpt,188780,1,extra\N4\cfb9f5c5-b2dd-4b61-b5a6-6d73e2df922f.png,,,ok,1,
extra\N5,extra,N5,extra\N5\Method1862.arw,199661,99e75daa0a66654f7c9a2fd12a7e7294,extra\N5\Method1862.cdf,73568,extra\N5\Method_m32_result_2265.rpt,188971,1,extra\N5\d5fd399f-47ee-424d-aa9f-faf674c4786f.png,,,ok,1,
