field,hash,crop_path,example_sample_dir,example_png,count
minimum_height,b07c1408bad7132cec0121f5c6e804e8,outputs\debug\crop_minimum_height_052.png,data\A18,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,1
start_min,050c58a2e3ea1f99f768507eef55344c,outputs\debug\crop_start_min_053.png,data\A19,data\A19\4d89843f-562f-46a9-bd0f-6da5093f0b3b.png,1
end_min,8adbd4dd48816be2080992ecb1604a54,outputs\debug\crop_end_min_054.png,data\A19,data\A19\4d89843f-562f-46a9-bd0f-6da5093f0b3b.png,1
peak_width_sec,a8ecaf391a593483365503f8e0c6155a,outputs\debug\crop_peak_width_sec_055.png,data\A19,data\A19\4d89843f-562f-46a9-bd0f-6da5093f0b3b.png,1
detection_threshold,4588f684a3074cee2feb6f68eecc1bc5,outputs\debug\crop_detection_threshold_056.png,data\A19,data\A19\4d89843f-562f-46a9-bd0f-6da5093f0b3b.png,1
minimum_height,f1ae397c2442ced09eee990806b26f69,outputs\debug\crop_minimum_height_057.png,data\A19,data\A19\4d89843f-562f-46a9-bd0f-6da5093f0b3b.png,1
start_min,a6162ea65b0baa2c7ef5d5e86c4472d3,outputs\debug\crop_start_min_058.png,data\A2,data\A2\f825f862-7976-4fd2-959a-b6fcf9619311.png,2
end_min,1fee2d9b10500024c19b020727b50184,outputs\debug\crop_end_min_059.png,data\A2,data\A2\f825f862-7976-4fd2-959a-b6fcf9619311.png,2
peak_width_sec,598a73b3956372adb8cc68b663c8f998,outputs\debug\crop_peak_width_sec_060.png,data\A2,data\A2\f825f862-7976-4fd2-959a-b6fcf9619311.png,2
detection_threshold,e4917b8b3f97050e0713863cdfd0517b,outputs\debug\crop_detection_threshold_061.png,data\A2,data\A2\f825f862-7976-4fd2-959a-b6fcf9619311.png,2
minimum_area,81425c3976b03c889582d7f558c99c68,outputs\debug\crop_minimum_area_062.png,data\A2,data\A2\f825f862-7976-4fd2-959a-b6fcf9619311.png,2
minimum_height,65f3f567648406e21869bd6aec0045d9,outputs\debug\crop_minimum_height_063.png,data\A2,data\A2\f825f862-7976-4fd2-959a-b6fcf9619311.png,2
start_min,ec6a271d85645605a4277a9d30e352b2,outputs\debug\crop_start_min_064.png,data\A20,data\A20\02bf27e3-9035-4a42-b536-43b7225995fc.png,1
end_min,2e20f6b7d93527d7222b495bd45a2d93,outputs\debug\crop_end_min_065.png,data\A20,data\A20\02bf27e3-9035-4a42-b536-43b7225995fc.png,1
