sample_dir,group_root,sample_name,arw_path,arw_size,arw_md5,cdf_path,cdf_size,rpt_path,rpt_size,png_count,parameter_pngs,plot_pngs,unknown_pngs,status,arw_trace_points,arw_time_min,arw_time_max,arw_signal_min,arw_signal_max,arw_signal_range,arw_baseline_p05,arw_noise_early_mad,arw_main_peak_time,arw_width_above_1pct,arw_width_above_5pct,arw_integrated_peak_count,arw_integrated_area_sum,arw_integrated_max_height,rpt_trace_points,rpt_time_min,rpt_time_max,rpt_signal_min,rpt_signal_max,rpt_signal_range,rpt_baseline_p05,rpt_noise_early_mad,rpt_main_peak_time,rpt_width_above_1pct,rpt_width_above_5pct,rpt_integrated_peak_count,rpt_integrated_area_sum,rpt_integrated_max_height,target_peak_count,hmws_time,hmws_height,hmws_area,hmws_area_pct_norm,monomer_time,monomer_height,monomer_area,monomer_area_pct_norm,lmws_time,lmws_height,lmws_area,lmws_area_pct_norm,duplicate_group_size,duplicate_dirs
extra\64,extra,64,extra\64\Method2584.arw,66198,0cbc73b1279e4fa97debfb17a89b06c1,extra\64\Method2584.cdf,25564,extra\64\Method_m32_result_2611.rpt,64584,2,extra\64\cca8238a-0197-4abf-abd8-bc6cea6acae5.png,extra\64\896b43ca-0f21-4b2b-9835-3ffcb95f36f7.png,,ok,3000,0.0007291667,9.997396,-3.635883e-05,0.2203832,0.22041955883,-3.218651e-05,1.43051e-06,5.014062,1.716666,1.0099999999999998,0,0.0,0.0,3000,0.0007291667,9.997396,0.0,100.0,100.0,0.001892902,0.0006489945000000001,5.014062,1.716666,1.0099999999999998,4,48526.13205,0.2203528,4,3.971155,0.00638085,1802.982,3.715486736388255,4.324929,0.03382782,6601.997,13.605034485743648,5.013556,0.2203528,40083.37,82.60161753403135,1,
extra\65,extra,65,extra\65\Method2588.arw,65898,88e1a188e19d835ba1c3abbd56ad7e8f,extra\65\Method2588.cdf,25228,extra\65\Method_m32_result_2612.rpt,63947,2,extra\65\79201529-6039-4022-8111-130f01e1a235.png,extra\65\d9ce87b8-118c-4804-87b5-91cc60f446fd.png,,ok,3000,0.0007291667,9.997396,-3.093481e-05,0.2176845,0.21771543481,-6.139279e-06,2.0861627000000003e-06,5.014062,1.6800000000000006,1.0133329999999994,0,0.0,0.0,3000,0.0007291667,9.997396,0.0,100.0,100.0,0.01138897,0.0009582050000000002,5.014062,1.6800000000000006,1.0133329999999994,4,47536.922360000004,0.2176319,4,3.970977,0.005613234,1512.102,3.1809000770995643,4.324921,0.03170797,6219.788,13.084120071756363,5.013663,0.2176319,39783.26,83.68917890543892,1,
extra\66,extra,66,extra\66\Method2160.arw,67379,d9cccb2c090bcba4e218364a847260f8,extra\66\Method2160.cdf,25232,extra\66\Method_m32_result_2236.rpt,66491,2,extra\66\432f87be-e397-4328-9cb9-49a17b2bfa64.png,extra\66\599f9f0b-5d9b-4e4b-b7bf-6c89ff26e92d.png,,ok,3000,0.002604167,9.99927,-2.533198e-05,0.2888411,0.28886643198,-2.169609e-05,1.4007100000000007e-06,4.922604,0.5766670000000005,0.3700000000000001,0,0.0,0.0,3000,0.002604167,9.99927,0.0,100.0,100.0,0.001258673,0.00048489849999999984,4.922604,0.5766670000000005,0.3700000000000001,3,50709.47757,0.2888901,3,4.223415,0.0004918479,111.1882,0.219265126221256,4.473894,0.0002760621,42.48937,0.08378980032154174,4.923919,0.2888901,50555.8,99.6969450734572,2,data\A4;extra\66
extra\67,extra,67,extra\67\Method2202.arw,65246,46caf46e7a61846823a971d1d852b54f,extra\67\Method2202.cdf,25664,extra\67\Method_m32_result_2237.rpt,63765,2,extra\67\d409fe14-4f2a-4a27-a8ab-56e735d418d3.png,extra\67\2d98fb03-3315-4e04-bfe6-bd236e33b615.png,,ok,3000,0.002604167,9.99927,-0.0001330972,0.2020035,0.2021365972,-2.980232e-07,1.132488e-06,4.935937,1.6099989999999997,1.0,0,0.0,0.0,3000,0.002604167,9.99927,0.0,100.0,100.0,0.06569773,0.000560259999999993,4.935937,1.6099989999999997,1.0,6,45742.863777000006,0.201917,5,3.286287,4.320345e-05,6.014907,0.013152874229221968,3.943625,0.005641777,1415.667,3.0956571733295255,4.271536,0.03165743,6440.367,14.083233064290374,2,data\B6;extra\67
extra\68,extra,68,extra\68\Method2222.arw,66127,184f8a2221f5e70e26123176e8303b97,extra\68\Method2222.cdf,25712,extra\68\Method_m32_result_2238.rpt,62450,2,extra\68\543fd3af-7272-40e4-a498-993af5959516.png,extra\68\46dcef62-b799-4259-a0be-a8173065e371.png,,ok,3000,0.002604167,9.99927,-0.0003144145,0.2027869,0.2031013145,-1.931489e-05,1.2815000000000004e-06,4.935937,1.5999999999999996,0.9966670000000004,0,0.0,0.0,3000,0.002604167,9.99927,0.0,100.0,100.0,0.14529673499999998,0.0006309499999999912,4.935937,1.5999999999999996,0.9966670000000004,7,45305.954309999994,0.2027583,6,3.268186,2.861038e-05,4.321079,0.00953945907263848,3.942664,0.004914621,1220.992,2.695531188395075,4.271141,0.02915619,5894.211,13.012394496836444,1,
extra\69,extra,69,extra\69\Method2226.arw,65692,26c546e2c4c7bd10654da065c4fc0c8c,extra\69\Method2226.cdf,25520,extra\69\Method_m32_result_2239.rpt,66294,2,extra\69\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,extra\69\0f2ca32b-2a4e-460e-a368-40ed1d09c8b3.png,,ok,3000,0.001145833,9.997812,-5.841256e-06,0.2893651,0.289370941256,-1.072884e-06,1.0728799999999998e-06,4.924479,0.5766660000000003,0.3699999999999992,0,0.0,0.0,3000,0.001145833,9.997812,0.0,100.0,100.0,0.001647841,0.000370764,4.924479,0.5766660000000003,0.3699999999999992,3,50598.517069999994,0.2893678,3,4.223661,0.0004814095,110.4092,0.21820639495670502,4.477485,0.0002697295,40.08787,0.07922736143539712,4.923502,0.2893678,50448.02,99.7025662436079,2,data\A6;extra\69
extra\71,extra,71,extra\71\Method1631.arw,67285,ab8050b37c6041960f06bdb8d95f5738,extra\71\Method1631.cdf,25568,extra\71\Method_m32_result_2268.rpt,64139,2,extra\71\9bfe4f8c-e429-4552-a770-e656966c7139.png,extra\71\faf95fb0-6791-4c88-bb46-8682353e1107.png,,ok,3000,0.0015625,9.998229,-0.0001477599,0.2255849,0.2257326599,-7.939339e-05,2.205369999999999e-06,4.951562,1.5400000000000005,0.9899989999999992,0,0.0,0.0,3000,0.0015625,9.998229,0.0,100.0,100.0,0.0302865,0.0009769849999999997,4.951562,1.5400000000000005,0.9899989999999992,4,46043.332247,0.2256214,4,3.92834,0.00378749,978.955,2.126160189163513,4.272448,0.02462737,4816.98,10.461840542207618,4.9519,0.2256214,40244.69,87.40611948784873,1,
extra\72,extra,72,extra\72\Method1639.arw,67127,1e9f4078243402fab802324548bca3cd,extra\72\Method1639.cdf,25520,extra\72\Method_m32_result_2269.rpt,63828,2,extra\72\425c978a-3844-42ee-a312-1896a0011679.png,extra\72\5ec696c1-6575-4f8d-9121-f6034afe0507.png,,ok,3000,0.003229167,9.999896,-0.0001360178,0.2214306,0.2215666178,-4.625321e-05,2.5928050000000003e-06,4.953229,1.5499999999999998,0.9900000000000002,0,0.0,0.0,3000,0.003229167,9.999896,0.0,100.0,100.0,0.0405136,0.0011702199999999996,4.953229,1.5499999999999998,0.9900000000000002,3,45277.4114,0.2214545,3,3.927658,0.003785879,991.6504,2.190165845037687,4.272565,0.0240147,4680.191,10.336701801817231,4.952338,0.2214545,39605.57,87.47313235314509,1,
extra\73,extra,73,extra\73\Method1643.arw,67176,1c2b716d5953d99e41d6b7704f83a45f,extra\73\Method1643.cdf,25520,extra\73\Method_m32_result_2270.rpt,63740,2,extra\73\d715f591-a591-42cf-8b61-4725a0c309c6.png,extra\73\0da9feae-e96f-4a94-a948-61042ca16e2b.png,,ok,3000,0.0001041667,9.996771,-0.000162065,0.2211083,0.221270365,-5.096197e-05,1.2218899999999986e-06,4.953437,1.5466659999999997,0.9899989999999992,0,0.0,0.0,3000,0.0001041667,9.996771,0.0,100.0,100.0,0.05021145,0.0005522100000000044,4.953437,1.5466659999999997,0.9899989999999992,3,45064.341,0.221159,3,3.927124,0.003612061,959.06,2.1282015418798648,4.272402,0.02307134,4500.041,9.985813395118772,4.952375,0.221159,39605.24,87.88598506300137,1,
extra\75,extra,75,extra\75\Method1647.arw,67016,d2df0d28c046efe0d2b08b1fc14904c5,extra\75\Method1647.cdf,25520,extra\75\Method_m32_result_2271.rpt,63865,2,extra\75\9a9b610a-62a7-48f8-8fe6-06d8b60bc381.png,extra\75\2e003836-876c-4567-95cd-9ea2fa729066.png,,ok,3000,0.0001041667,9.996771,-0.0001246333,0.2227146,0.22283923330000002,-2.831221e-05,1.7285300000000009e-06,4.953437,1.5366670000000004,0.9866659999999996,0,0.0,0.0,3000,0.0001041667,9.996771,0.0,100.0,100.0,0.04322448,0.0007756900000000025,4.953437,1.5366670000000004,0.9866659999999996,3,44938.6228,0.2227197,3,3.927412,0.003539694,933.7428,2.077818014485304,4.273279,0.02264936,4383.28,9.75392597033481,4.95345,0.2227197,39621.6,88.16825601517989,1,
