sample_dir,field,hash,crop_path
data\B4,peak_width_sec,5f6a08fa0ffd46506905e8216295f739,outputs\debug\crop_peak_width_sec_160.png
data\B4,detection_threshold,740084a8ae9e59ca2f8dcab493f295ef,outputs\debug\crop_detection_threshold_161.png
data\B4,minimum_area,998f2899878c8cad5129d3b03e803b5b,outputs\debug\crop_minimum_area_162.png
data\B4,minimum_height,a713e9c408f7f7c2e3ddc2dff13e2d40,outputs\debug\crop_minimum_height_163.png
data\B5,start_min,a1ffe3adbbb2a276d71fa44cd92708fc,outputs\debug\crop_start_min_164.png
data\B5,end_min,6ba5847d931a6b2a5eb0050575cbf7d2,outputs\debug\crop_end_min_165.png
data\B5,peak_width_sec,79f313892390bf9e046370d2b5d3a51a,outputs\debug\crop_peak_width_sec_166.png
data\B5,detection_threshold,49798591dbb5bfce3f244d49d8f9d93c,outputs\debug\crop_detection_threshold_167.png
data\B5,minimum_area,928917635d1f26b1be3b836b7356cbd1,outputs\debug\crop_minimum_area_168.png
data\B5,minimum_height,e3cc5d95845b5dea8bbf742e1a0e92ce,outputs\debug\crop_minimum_height_169.png
data\B6,start_min,ab084de60fe6d32f6a1e171ff46a5e60,outputs\debug\crop_start_min_170.png
data\B6,end_min,43164dce2b26ab5796337fdf0632ff93,outputs\debug\crop_end_min_171.png
data\B6,peak_width_sec,7c9f31cb388d9f94ac6c3d3a1cbcb4bb,outputs\debug\crop_peak_width_sec_172.png
data\B6,detection_threshold,c7d7fa0eddc19fabaabdf779af2c8b99,outputs\debug\crop_detection_threshold_173.png
data\B6,minimum_area,d296a237b21e89ffb952b66e8a4a2aeb,outputs\debug\crop_minimum_area_174.png
data\B6,minimum_height,15f5457f68d4096265cc6d0c5832bad0,outputs\debug\crop_minimum_height_175.png
data\B7,start_min,7bc6c3cae5e54dcde1c368065000973b,outputs\debug\crop_start_min_176.png
data\B7,end_min,7ed3ac8237c3d3f7594dd8643ae0c5e5,outputs\debug\crop_end_min_177.png
data\B7,peak_width_sec,0a11ee2296eaf9a6e4ae6c9585ebf59b,outputs\debug\crop_peak_width_sec_178.png
data\B7,detection_threshold,3e0c17afdc6ba03b177e9a7f3d943bd4,outputs\debug\crop_detection_threshold_179.png
data\B7,minimum_area,0de0cdf453677f68000c8c66f07388ff,outputs\debug\crop_minimum_area_180.png
data\B7,minimum_height,c3f0ecf86818cf6dfb2515af6629a519,outputs\debug\crop_minimum_height_181.png
data\B8,start_min,7bcb0f2290592332d1bceedd4193c22f,outputs\debug\crop_start_min_182.png
data\B8,end_min,f52893be4a9fecdc75f849ed048bae2a,outputs\debug\crop_end_min_183.png
data\B8,peak_width_sec,dbd9552232eb5f0d741090191b257c01,outputs\debug\crop_peak_width_sec_184.png
data\B8,detection_threshold,8ab24114311ee2a8098227319af80859,outputs\debug\crop_detection_threshold_185.png
data\B8,minimum_area,eff2e5d38b0e337c927c1728be07e826,outputs\debug\crop_minimum_area_186.png
data\B8,minimum_height,6930b7e8f55c9390418f2bda246a7dad,outputs\debug\crop_minimum_height_187.png
data\B9,start_min,4fc8e7922f15918af51c0ca9a4e81b2f,outputs\debug\crop_start_min_188.png
data\B9,end_min,6267d1a4a5efc0b710c96237ae875383,outputs\debug\crop_end_min_189.png
data\B9,peak_width_sec,b0d2ebf6081a6eae264a19c80e33a09f,outputs\debug\crop_peak_width_sec_190.png
data\B9,detection_threshold,a049a700a2ae7248f0f4ac97c28b9b19,outputs\debug\crop_detection_threshold_191.png
data\B9,minimum_area,c77b807ee864edbb9abf498755c98033,outputs\debug\crop_minimum_area_192.png
data\B9,minimum_height,0c13480e4dd6fc4fd0f322f1bce7f553,outputs\debug\crop_minimum_height_193.png
data\BC1,start_min,ece61de7a2dc06af42c3dfc3ad0db876,outputs\debug\crop_start_min_194.png
data\BC1,end_min,b5afccc0917cdd93891c381667a9df63,outputs\debug\crop_end_min_195.png
data\BC1,peak_width_sec,186084a73c243f998cd5571e906e79ee,outputs\debug\crop_peak_width_sec_196.png
data\BC1,detection_threshold,43bed9c1bfcc19fb47b716e1c2fdead1,outputs\debug\crop_detection_threshold_197.png
data\BC1,minimum_area,c4d65e79ebbb23c7726dc9bab0bc6eae,outputs\debug\crop_minimum_area_198.png
data\BC1,minimum_height,6971c8d7e68081c3dbc962ae0b347668,outputs\debug\crop_minimum_height_199.png
data\BC10,start_min,853e1dbe8d84c94dc32e3502a0fabe62,outputs\debug\crop_start_min_200.png
data\BC10,end_min,3b8ce3da3403184985920179517c0475,outputs\debug\crop_end_min_201.png
data\BC10,peak_width_sec,f246aaa9e3eea52cbb45ac78d09b5618,outputs\debug\crop_peak_width_sec_202.png
data\BC10,detection_threshold,943caed96c1cd47091d3d3cf25d1bcc7,outputs\debug\crop_detection_threshold_203.png
data\BC10,minimum_area,bde6b6c5c301e01739e3ddce89d040bc,outputs\debug\crop_minimum_area_010.png
data\BC10,minimum_height,9a6af4928c21d6ca33a6a0401958f1ea,outputs\debug\crop_minimum_height_204.png
data\BC11,start_min,8f111c83623341689ca22ff01917f21f,outputs\debug\crop_start_min_205.png
data\BC11,end_min,8165e9aa639324057d50b290c4f62bc5,outputs\debug\crop_end_min_206.png
data\BC11,peak_width_sec,73b6c01b0f2536b0f2ee7922398912a6,outputs\debug\crop_peak_width_sec_207.png
data\BC11,detection_threshold,140a56b2f0798915181319b30c2c1061,outputs\debug\crop_detection_threshold_208.png
data\BC11,minimum_area,a05fe7e6501bf56c4d1306d337ef4657,outputs\debug\crop_minimum_area_209.png
data\BC11,minimum_height,85245a03024316d4ce0a46154e0d52b0,outputs\debug\crop_minimum_height_210.png
data\BC2,start_min,17d03ff42829f51661c9ea2a3725fddb,outputs\debug\crop_start_min_211.png
data\BC2,end_min,0923fe0ef32519fbd2f7e41ac22d660b,outputs\debug\crop_end_min_212.png
data\BC2,peak_width_sec,8ba154ead1e331f2f1b6b14a466b5067,outputs\debug\crop_peak_width_sec_213.png
data\BC2,detection_threshold,2283a903a577da72ba15824729e8e802,outputs\debug\crop_detection_threshold_214.png
data\BC2,minimum_area,fc7503ea21f67cb4a31fa75eda380ac1,outputs\debug\crop_minimum_area_215.png
data\BC2,minimum_height,d50375eb815da02ea009a9e411689998,outputs\debug\crop_minimum_height_216.png
data\BC3,start_min,903d9ce4ca94f6cd9242efb2c1649563,outputs\debug\crop_start_min_217.png
data\BC3,end_min,2709cc70230993804bc3ce30e6c45e7a,outputs\debug\crop_end_min_218.png
data\BC3,peak_width_sec,3186d9dc435601f0e8532f9fe2f4e16b,outputs\debug\crop_peak_width_sec_219.png
data\BC3,detection_threshold,cd897f1e0be3c46cb2330d5727942064,outputs\debug\crop_detection_threshold_220.png
data\BC3,minimum_area,e0412f900c4e22dcf8c690eafb33dd0e,outputs\debug\crop_minimum_area_221.png
data\BC3,minimum_height,62560545dc7bf4689d9b959200b969e4,outputs\debug\crop_minimum_height_222.png
data\BC4,start_min,e8fb4545bc849f200d99c77bba80d66c,outputs\debug\crop_start_min_223.png
data\BC4,end_min,58fc3a7607d59329c474961ba3683e63,outputs\debug\crop_end_min_224.png
data\BC4,peak_width_sec,bf86c6dbf3605897dbfb4ead2da0b3fe,outputs\debug\crop_peak_width_sec_225.png
data\BC4,detection_threshold,9812a53bd3c662b6d4c574a1755bcd88,outputs\debug\crop_detection_threshold_226.png
data\BC4,minimum_area,25e025ddcc8ba4a3967b90d194245a03,outputs\debug\crop_minimum_area_227.png
data\BC4,minimum_height,a764c0116b00afb45af9fb4fd94c9852,outputs\debug\crop_minimum_height_228.png
data\BC5,start_min,903d9ce4ca94f6cd9242efb2c1649563,outputs\debug\crop_start_min_217.png
data\BC5,end_min,2709cc70230993804bc3ce30e6c45e7a,outputs\debug\crop_end_min_218.png
data\BC5,peak_width_sec,3186d9dc435601f0e8532f9fe2f4e16b,outputs\debug\crop_peak_width_sec_219.png
data\BC5,detection_threshold,cd897f1e0be3c46cb2330d5727942064,outputs\debug\crop_detection_threshold_220.png
data\BC5,minimum_area,e0412f900c4e22dcf8c690eafb33dd0e,outputs\debug\crop_minimum_area_221.png
data\BC5,minimum_height,62560545dc7bf4689d9b959200b969e4,outputs\debug\crop_minimum_height_222.png
data\BC6,start_min,024fbfb8321fc07e748327c73c869daa,outputs\debug\crop_start_min_229.png
data\BC6,end_min,978b0c61630ce583e888915d213d5b1b,outputs\debug\crop_end_min_230.png
data\BC6,peak_width_sec,c6f2bbe1b4d097d2728d2129e7adbd9a,outputs\debug\crop_peak_width_sec_231.png
data\BC6,detection_threshold,5e46fbe4cfb97c18460240986ccb48a5,outputs\debug\crop_detection_threshold_232.png
data\BC6,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\BC6,minimum_height,b28d668ab233a4c2ee6fe079e919bb01,outputs\debug\crop_minimum_height_233.png
data\BC7,start_min,d88d2f2cc88a36baea07a5d91c03220c,outputs\debug\crop_start_min_234.png
data\BC7,end_min,28bd7c3686cb009be8a61e16318abcb7,outputs\debug\crop_end_min_235.png
data\BC7,peak_width_sec,403bd5b4abbd75caeba7b9c4de11de11,outputs\debug\crop_peak_width_sec_072.png
data\BC7,detection_threshold,4d5846c87676644d56be2884541a05e7,outputs\debug\crop_detection_threshold_236.png
